t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.000000,12.000000,0.007324,0.000000,0.000000,0.000000
0.000200,12.000000,0.629883,0.000000,0.662722,0.012065
0.000400,12.000000,1.303711,0.000000,1.281464,0.047186
0.000600,12.000000,1.889648,0.000000,1.859086,0.103831
0.000800,12.000000,2.336426,0.000000,2.398260,0.180565
0.001000,12.000000,2.863770,0.000000,2.901487,0.276051
0.001200,12.000000,3.376465,0.000000,3.371104,0.389034
0.001400,12.000000,3.801270,0.000000,3.809296,0.518343
0.001600,12.000000,4.218750,0.000000,4.218107,0.662884
0.001800,12.000000,4.570312,0.000000,4.599448,0.821632
0.002000,12.000000,4.980469,0.000000,4.955104,0.993630
0.002200,12.000000,5.310059,0.000000,5.286747,1.177984
0.002400,12.000000,5.595703,0.000000,5.595938,1.373856
0.002600,12.000000,5.917969,0.000000,5.884138,1.580463
0.002800,12.000000,6.166992,15.339808,6.152711,1.797076
0.003000,12.000000,6.379395,0.000000,6.402935,2.023008
0.003200,12.000000,6.650391,0.000000,6.636004,2.257622
0.003400,12.000000,6.826172,0.000000,6.853032,2.500319
0.003600,12.000000,7.082520,0.000000,7.055065,2.750540
0.003800,12.000000,7.243652,0.000000,7.243078,3.007763
0.004000,12.000000,7.412109,15.339808,7.417983,3.271499
0.004200,12.000000,7.558594,0.000000,7.580633,3.541292
0.004400,12.000000,7.770996,0.000000,7.731826,3.816714
0.004600,12.000000,7.866211,0.000000,7.872308,4.097366
0.004800,12.000000,7.990723,15.339808,8.002777,4.382876
0.005000,12.000000,8.115234,0.000000,8.123883,4.672893
0.005200,12.000000,8.254395,0.000000,8.236237,4.967092
0.005400,12.000000,8.349609,15.339808,8.340409,5.265168
0.005600,12.000000,8.452148,0.000000,8.436932,5.566836
0.005800,12.000000,8.540039,0.000000,8.526304,5.871829
0.006000,12.000000,8.671875,15.339808,8.608991,6.179898
0.006200,12.000000,8.671875,0.000000,8.685429,6.490810
0.006400,12.000000,8.737793,0.000000,8.756025,6.804348
0.006600,12.000000,8.796387,15.339808,8.821160,7.120307
0.006800,12.000000,8.898926,0.000000,8.881190,7.438498
0.007000,12.000000,8.972168,15.339808,8.936449,7.758743
0.007200,12.000000,8.986816,0.000000,8.987247,8.080876
0.007400,12.000000,9.008789,15.339808,9.033876,8.404741
0.007600,12.000000,9.052734,15.339808,9.076607,8.730193
0.007800,12.000000,9.133301,0.000000,9.115696,9.057095
0.008000,12.000000,9.177246,15.339808,9.151381,9.385322
0.008200,12.000000,9.199219,0.000000,9.183883,9.714755
0.008400,12.000000,9.191895,15.339808,9.213411,10.045283
0.008600,12.000000,9.250488,15.339808,9.240159,10.376802
0.008800,12.000000,9.265137,0.000000,9.264310,10.709215
0.009000,12.000000,9.294434,15.339808,9.286033,11.042432
0.009200,12.000000,9.331055,15.339808,9.305487,11.376369
0.009400,12.000000,9.331055,15.339808,9.322821,11.710945
0.009600,12.000000,9.360352,0.000000,9.338174,12.046089
0.009800,12.000000,9.353027,15.339808,9.351676,12.381730
0.010000,12.000000,9.375000,15.339808,9.363449,12.717804
0.010200,12.000000,9.389648,15.339808,9.373605,13.054251
0.010400,12.000000,9.338379,15.339808,9.382252,13.391014
0.010600,12.000000,9.382324,0.000000,9.389489,13.728042
0.010800,12.000000,9.382324,15.339808,9.395408,14.065285
0.011000,12.000000,9.382324,15.339808,9.400097,14.402696
0.011200,12.000000,9.396973,15.339808,9.403636,14.740234
0.011400,12.000000,9.448242,15.339808,9.406101,15.077859
0.011600,12.000000,9.382324,15.339808,9.407564,15.415532
0.011800,12.000000,9.433594,15.339808,9.408091,15.753219
0.012000,12.000000,9.360352,15.339808,9.407744,16.090887
0.012200,12.000000,9.396973,15.339808,9.406580,16.428507
0.012400,12.000000,9.411621,15.339808,9.404655,16.766049
0.012600,12.000000,9.418945,30.679616,9.402019,17.103487
0.012800,12.000000,9.418945,15.339808,9.398718,17.440797
0.013000,12.000000,9.418945,15.339808,9.394799,17.777955
0.013200,12.000000,9.382324,15.339808,9.390301,18.114940
0.013400,12.000000,9.375000,15.339808,9.385265,18.451732
0.013600,12.000000,9.404297,15.339808,9.379725,18.788311
0.013800,12.000000,9.367676,30.679616,9.373716,19.124662
0.014000,12.000000,9.331055,15.339808,9.367270,19.460766
0.014200,12.000000,9.323730,15.339808,9.360416,19.796609
0.014400,12.000000,9.323730,15.339808,9.353182,20.132177
0.014600,12.000000,9.360352,30.679616,9.345594,20.467457
0.014800,12.000000,9.338379,15.339808,9.337676,20.802436
0.015000,12.000000,9.353027,15.339808,9.329450,21.137103
0.015200,12.000000,9.309082,30.679616,9.320939,21.471448
0.015400,12.000000,9.316406,15.339808,9.312161,21.805459
0.015600,12.000000,9.323730,30.679616,9.303135,22.139129
0.015800,12.000000,9.287109,15.339808,9.293878,22.472449
0.016000,12.000000,9.301758,30.679616,9.284407,22.805409
0.016200,12.000000,9.257812,15.339808,9.274736,23.138004
0.016400,12.000000,9.250488,30.679616,9.264881,23.470227
0.016600,12.000000,9.243164,15.339808,9.254853,23.802069
0.016800,12.000000,9.206543,30.679616,9.244666,24.133527
0.017000,12.000000,9.250488,15.339808,9.234330,24.464595
0.017200,12.000000,9.206543,30.679616,9.223857,24.795266
0.017400,12.000000,9.213867,30.679616,9.213257,25.125537
0.017600,12.000000,9.213867,15.339808,9.202539,25.455403
0.017800,12.000000,9.206543,30.679616,9.191713,25.784860
0.018000,12.000000,9.199219,30.679616,9.180785,26.113905
0.018200,12.000000,9.169922,15.339808,9.169765,26.442533
0.018400,12.000000,9.147949,30.679616,9.158658,26.770742
0.018600,12.000000,9.147949,30.679616,9.147473,27.098529
0.018800,12.000000,9.082031,30.679616,9.136214,27.425891
0.019000,12.000000,9.082031,15.339808,9.124889,27.752825
0.019200,12.000000,9.074707,30.679616,9.113502,28.079330
0.019400,12.000000,9.074707,30.679616,9.102060,28.405402
0.019600,12.000000,9.104004,30.679616,9.090565,28.731041
0.019800,12.000000,9.052734,30.679616,9.079024,29.056245
0.020000,12.000000,9.052734,30.679616,9.067440,29.381011
0.020200,12.000000,9.096680,30.679616,9.055817,29.705339
0.020400,12.000000,9.030762,30.679616,9.044159,30.029227
0.020600,12.000000,9.052734,30.679616,9.032469,30.352675
0.020800,12.000000,8.994141,30.679616,9.020750,30.675680
0.021000,12.000000,9.001465,30.679616,9.009006,30.998242
0.021200,12.000000,8.972168,30.679616,8.997239,31.320360
0.021400,12.000000,8.972168,30.679616,8.985452,31.642034
0.021600,12.000000,9.001465,30.679616,8.973648,31.963262
0.021800,12.000000,8.913574,30.679616,8.961827,32.284045
